category,association,IndVal,p.value
ACA,FN,0.5972455907297199,0.001
CYA,FN,0.29366045521595124,0.001
SCL,FN + RA,0.6132460113562611,0.001
EAM,FN + RA + SP,0.6195554473763045,0.001
FIL,FN + RA + SP,0.5837343112205748,0.001
POR,FN + SP + TR,0.33642110537276737,0.001
FOL,FN + TR,0.4948817177253208,0.001
COR,RA,0.376667680695549,0.001
COT,RA,0.28008752419446603,0.001
GLC,RA,0.1853456596780787,0.007
ABI,RA + TR,0.6778517661935776,0.001
TUN,SP,0.7414796787261072,0.001
ZOA,SP,0.7108223100220872,0.001
INV,SP,0.44459158111720587,0.001
CCA,SP + TR,0.6529443050141688,0.001
ECH,TR,0.41959352287243257,0.001
STO,TR,0.30932925494409685,0.001
CEN,TR,0.2957557206378189,0.001
