"group","year","n_transects"
"ABI",2013,6
"ABI",2014,7
"ABI",2015,7
"ABI",2016,9
"ABI",2017,9
"ABI",2018,9
"ABI",2019,3
"ACA",2013,6
"ACA",2014,9
"ACA",2015,9
"ACA",2016,9
"ACA",2017,9
"ACA",2018,9
"ACA",2019,9
"CCA",2013,6
"CCA",2014,8
"CCA",2015,8
"CCA",2016,7
"CCA",2017,9
"CCA",2018,9
"CCA",2019,9
"CYA",2013,6
"CYA",2014,7
"CYA",2015,8
"CYA",2016,6
"CYA",2017,9
"CYA",2018,9
"CYA",2019,9
"EAM",2013,6
"EAM",2014,9
"EAM",2015,9
"EAM",2016,9
"EAM",2017,9
"EAM",2018,9
"EAM",2019,9
"INV",2013,3
"INV",2016,1
"INV",2017,2
"INV",2019,1
"MAL",2013,6
"MAL",2014,9
"MAL",2015,9
"MAL",2016,9
"MAL",2017,9
"MAL",2018,9
"MAL",2019,9
"POR",2013,6
"POR",2014,7
"POR",2015,7
"POR",2016,6
"POR",2017,9
"POR",2018,8
"POR",2019,9
"SCL",2013,6
"SCL",2014,9
"SCL",2015,9
"SCL",2016,8
"SCL",2017,9
"SCL",2018,9
"SCL",2019,9
"ZOA",2013,1
"ZOA",2014,1
"ZOA",2015,1
"ZOA",2016,1
"ZOA",2019,3
