"group","year","n_transects"
"ABI",2013,11
"ABI",2014,12
"ABI",2015,12
"ABI",2016,12
"ABI",2017,12
"ABI",2018,12
"ABI",2019,9
"ACA",2013,11
"ACA",2014,10
"ACA",2015,10
"ACA",2016,8
"ACA",2017,6
"ACA",2018,9
"ACA",2019,4
"CCA",2013,12
"CCA",2014,11
"CCA",2015,11
"CCA",2016,11
"CCA",2017,10
"CCA",2018,12
"CCA",2019,5
"CYA",2013,11
"CYA",2014,8
"CYA",2015,11
"CYA",2016,8
"CYA",2017,10
"CYA",2018,11
"CYA",2019,9
"EAM",2013,12
"EAM",2014,12
"EAM",2015,12
"EAM",2016,12
"EAM",2017,12
"EAM",2018,12
"EAM",2019,9
"MAL",2013,12
"MAL",2014,11
"MAL",2015,11
"MAL",2016,12
"MAL",2017,12
"MAL",2018,12
"MAL",2019,9
"OTH",2013,3
"OTH",2014,1
"OTH",2016,1
"OTH",2017,2
"OTH",2018,1
"OTH",2019,2
"POR",2013,5
"POR",2014,5
"POR",2015,5
"POR",2016,1
"POR",2017,2
"POR",2018,5
"POR",2019,1
"SCL",2013,12
"SCL",2014,12
"SCL",2015,12
"SCL",2016,11
"SCL",2017,12
"SCL",2018,12
"SCL",2019,9
"ZOA",2013,10
"ZOA",2014,10
"ZOA",2015,9
"ZOA",2016,8
"ZOA",2017,6
"ZOA",2018,7
"ZOA",2019,5
