"group","mean_cover","sd_cover","median_cover","min_cover","max_cover","n_obs","n_years"
"EAM",47.2786059944449,14.5311014294007,48.2476350949,12.132996633,83.0765024677778,81,7
"ABI",27.0491321644914,16.4831721118749,28.1343588947556,2.30466145333333,60.0470314142857,80,7
"MAL",21.9249981588946,17.4962435319509,18.246428571,2,62.599999999,79,7
"CCA",6.8658412506452,4.34413233035073,5.68587080722857,2,21.2677365887,72,7
"ZOA",7.2458751623904,5.59393057285432,4.7613636365,2,21.6071352388,55,7
"CYA",5.69081593862383,3.65481825116004,4.55208333325,2,20.93023256,68,7
"POR",4.43063170784028,2.3030744134294,4.20184482066667,2,9.302325581,24,7
"SCL",5.44694735080946,3.11942539709206,4.1752424375,2,17.090909092,80,7
"ACA",6.87056413260753,7.49937507162059,3.4970005325,2,41.4653679642857,58,7
"OTH",2.2876674913,0.61377488277172,2.06207483,2,4,10,6
