"group","year","n_transects"
"ACA",2013,1
"ACA",2014,3
"ACA",2015,5
"ACA",2016,2
"ACA",2017,6
"ACA",2018,7
"ACA",2019,9
"CCA",2013,9
"CCA",2014,9
"CCA",2015,7
"CCA",2016,9
"CCA",2017,9
"CCA",2018,9
"CCA",2019,9
"CYA",2013,2
"CYA",2018,6
"CYA",2019,9
"EAM",2013,9
"EAM",2014,9
"EAM",2015,7
"EAM",2016,9
"EAM",2017,9
"EAM",2018,9
"EAM",2019,9
"INV",2013,5
"INV",2014,4
"INV",2015,3
"INV",2016,4
"INV",2017,3
"MAL",2013,9
"MAL",2014,9
"MAL",2015,7
"MAL",2016,9
"MAL",2017,9
"MAL",2018,9
"MAL",2019,9
"OTH",2014,3
"OTH",2015,6
"OTH",2016,8
"OTH",2017,5
"OTH",2018,3
"POR",2013,9
"POR",2014,9
"POR",2015,7
"POR",2016,9
"POR",2017,8
"POR",2018,6
"POR",2019,7
"SCL",2014,2
"TUN",2013,6
"TUN",2014,6
"TUN",2015,7
"TUN",2016,4
"TUN",2017,8
"TUN",2018,9
"TUN",2019,9
"ZOA",2013,8
"ZOA",2014,9
"ZOA",2015,6
"ZOA",2016,8
"ZOA",2017,8
"ZOA",2018,7
"ZOA",2019,8
