"group","mean_cover","sd_cover","median_cover","min_cover","max_cover","n_obs","n_years"
"EAM",41.5649610862726,11.085414310598,42.2857142857143,18,67.5555555555556,61,7
"ZOA",38.2383597883598,21.9671473319116,36.6666666666667,2,100,54,7
"MAL",26.4899581293024,8.97929701728696,26.6,8,46.4,61,7
"CCA",25.7815993660256,8.24082645814587,24.3333333333333,9.42857142857143,53.2,61,7
"OTH",16.2213333333333,13.9584266331874,12,2,52,25,5
"TUN",11.897052154195,6.5465505381153,10.6666666666667,2,31,49,7
"ACA",7.3989898989899,5.37550052481217,6,2,24.5,33,7
"CYA",6.34313725490196,2.85072516860677,6,2,12,17,3
"POR",6.77753246753247,4.08958871037534,6,2,25.5,55,7
"INV",4.61152882205514,2.52282416413392,4,2,10,19,5
"SCL",2,0,2,2,2,2,1
