"group","year","n_transects"
"ABI",2013,12
"ABI",2015,12
"ABI",2016,9
"ABI",2017,12
"ABI",2019,24
"ACA",2013,10
"ACA",2015,8
"ACA",2016,1
"ACA",2017,12
"CCA",2013,12
"CCA",2015,11
"CCA",2016,9
"CCA",2017,12
"CCA",2019,24
"CYA",2013,12
"CYA",2015,4
"CYA",2016,6
"CYA",2017,11
"CYA",2019,6
"EAM",2013,12
"EAM",2015,12
"EAM",2016,9
"EAM",2017,12
"EAM",2019,19
"INV",2013,5
"INV",2015,2
"INV",2016,1
"INV",2017,4
"INV",2019,10
"MAL",2013,12
"MAL",2015,12
"MAL",2016,9
"MAL",2017,11
"MAL",2019,24
"OTH",2013,9
"OTH",2015,4
"OTH",2016,1
"OTH",2017,9
"POR",2013,10
"POR",2015,7
"POR",2016,3
"POR",2017,6
"POR",2019,19
"SCL",2013,5
"SCL",2015,5
"SCL",2016,1
"SCL",2017,3
"SCL",2019,11
"ZOA",2013,1
"ZOA",2019,1
