"group","mean_cover","sd_cover","median_cover","min_cover","max_cover","n_obs","n_years"
"MAL",27.8800755314976,14.9054203164761,24.08333333335,5.8333333335,74.166666667,68,5
"ABI",24.6237679681222,18.2979813059493,22.1583789582428,1.666666667,89.333333333,69,5
"EAM",18.928530786055,14.3864360017922,15.1967592595069,1.90929690929691,60.166666667,64,5
"CCA",17.1476467334446,13.9021418976067,13.49999999985,1.666666667,53.0409600702702,68,5
"ZOA",5.81967213114754,5.91187636729737,5.81967213114754,1.63934426229508,10,2,2
"CYA",5.87980828035294,5.6017665387739,4.761904762,1.666666667,33.33333333,39,5
"ACA",9.29744837022669,10.8245612472671,4.28571428557143,1.666666667,46.2962962958889,31,4
"POR",5.52293451426886,5.30329568551705,4,1.17647058823529,30,45,5
"SCL",3.47239266851956,2.17189422991139,3.09523809528571,1.28205128205128,10.228431372549,25,5
"INV",2.52444815258078,0.864150898821321,2.22222222233333,1.5625,4.25531914893617,22,5
"OTH",2.80969634240942,1.66986031788847,2.0833333335,1.666666667,7.5,23,4
